,source,barrel,bullet,land,score_left_rollapply,score_right_rollapply,score_left_rlo,score_right_rlo,score_left_quadratic,score_right_quadratic,Notes
41,Unknowns/Bullet 'X'/HS44 - Unknown; Bullet X; Land 4 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'X',Land 4,93.98907808,-70.0892502,166.778587,-12.54943524,42.85944291,-12.54943524,
42,Unknowns/Bullet 'K'/HS44 - Unknown; Bullet K; Land 4 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'K',Land 4,-184.9199098,0,12.59573492,-61.04564721,97.15330927,-6.087047392,
43,Unknowns/Bullet 'J'/HS44 - Unknown; Bullet J; Land 4 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'J',Land 4,-1045.661646,-2.76301319,3149.200003,-2.76301319,3670.396258,-2.76301319,
44,Barrel 3/Bullet 1/HS44 - Barrel 3; Bullet 1; Land 2 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 3,Bullet 1,Land 2,-14.57202907,1279.312024,-1.332945126,1.389188673,13.5014961,34.79331337,
45,Barrel 2/Bullet 2/HS44 - Barrel 2 - Bullet 2 - Land 2 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 2,Bullet 2,Land 2,131.8897196,-357.4057822,85.806607,-493.0373596,85.60167024,-357.4057822,
46,Barrel 8/Bullet 1/HS44 - Barrel 8 - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 8,Bullet 1,Land 3,-93.50030265,1057.388936,-7.966062117,287.6700828,21.7063485,295.8243145,
47,Barrel 2/Bullet 2/HS44 - Barrel 2 - Bullet 2 - Land 6 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 2,Bullet 2,Land 6,36.16573677,6.675446246,-67.52469972,-2.217948366,35.99725176,6.675446246,
48,Barrel 10/Bullet 2/HS44 - Barrel 10; Bullet 2; Land 2 - Sneox1 - 20x - auto light left image +20 perc. x10- threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 10,Bullet 2,Land 2,-105.9035023,6347.826986,-8.876994121,-137.5249294,123.7381915,-93.245458,
49,Unknowns/Bullet 'Y'/HS44 - Unknown; Bullet Y; Land 3 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'Y',Land 3,5.929993524,-91.66041789,-0.468407583,-91.66041789,72.91939309,-91.66041789,
50,Barrel 7/Bullet 1/HS44 - Barrel 7; Bullet 1; Land 6 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 7,Bullet 1,Land 6,-79.49469486,8.221544221,1.432955405,-0.07461207,177.7072663,8.221544221,
